"resource","consumer"
"Dictyosphaerium pulchellum","Holopedium gibberum"
"Dinobryon sertularia","Holopedium gibberum"
"Dinobryon sociale","Holopedium gibberum"
"Glenodinium quadridens","Holopedium gibberum"
"Mallomonas sp. 1","Holopedium gibberum"
"Mallomonas sp. 2","Holopedium gibberum"
"Unclassified flagellates","Holopedium gibberum"
"Peridinium cinctum","Holopedium gibberum"
"Peridinium pulsillum","Holopedium gibberum"
"Chromulina sp.","Holopedium gibberum"
"Selenastrum minutum","Holopedium gibberum"
"Trachelomonas sp.","Holopedium gibberum"
"Cryptomonas sp. 1","Kellicottia sp."
"Chroococcus dispersus","Kellicottia sp."
"Unclassified flagellates","Kellicottia sp."
"Chromulina sp.","Kellicottia sp."
"Selenastrum minutum","Kellicottia sp."
"Trachelomonas sp.","Kellicottia sp."
"Cryptomonas sp. 1","Keratella cochlearis"
"Chroococcus dispersus","Keratella cochlearis"
"Unclassified flagellates","Keratella cochlearis"
"Chromulina sp.","Keratella cochlearis"
"Selenastrum minutum","Keratella cochlearis"
"Trachelomonas sp.","Keratella cochlearis"
"Cryptomonas sp. 1","Keratella testudo"
"Chroococcus dispersus","Keratella testudo"
"Unclassified flagellates","Keratella testudo"
"Chromulina sp.","Keratella testudo"
"Selenastrum minutum","Keratella testudo"
"Trachelomonas sp.","Keratella testudo"
"Nostoc sp.","Leptodiaptomus siciloides"
"Arthrodesmus sp.","Leptodiaptomus siciloides"
"Cryptomonas sp. 1","Leptodiaptomus siciloides"
"Cryptomonas sp. 2","Leptodiaptomus siciloides"
"Chroococcus dispersus","Leptodiaptomus siciloides"
"Dinobryon cylindricum","Leptodiaptomus siciloides"
"Dactylococcopsis fascicularis","Leptodiaptomus siciloides"
"Dictyosphaerium pulchellum","Leptodiaptomus siciloides"
"Dinobryon sociale","Leptodiaptomus siciloides"
"Glenodinium quadridens","Leptodiaptomus siciloides"
"Mallomonas sp. 2","Leptodiaptomus siciloides"
"Unclassified flagellates","Leptodiaptomus siciloides"
"Peridinium pulsillum","Leptodiaptomus siciloides"
"Chromulina sp.","Leptodiaptomus siciloides"
"Selenastrum minutum","Leptodiaptomus siciloides"
"Trachelomonas sp.","Leptodiaptomus siciloides"
"Ascomorpha eucadis","Orthocyclops modestus"
"Synchaeta sp.","Orthocyclops modestus"
"Conochilus (solitary)","Orthocyclops modestus"
"Cyclops varians rubellus","Orthocyclops modestus"
"Filinia longispina","Orthocyclops modestus"
"Conochiloides dossuarius","Orthocyclops modestus"
"Gastropus stylifer","Orthocyclops modestus"
"Kellicottia sp.","Orthocyclops modestus"
"Keratella cochlearis","Orthocyclops modestus"
"Keratella testudo","Orthocyclops modestus"
"Leptodiaptomus siciloides","Orthocyclops modestus"
"Orthocyclops modestus","Orthocyclops modestus"
"Ploesoma sp.","Orthocyclops modestus"
"Polyarthra vulgaris","Orthocyclops modestus"
"Trichocerca multicrinis","Orthocyclops modestus"
"Trichocerca cylindrica","Orthocyclops modestus"
"Tropocyclops prasinus","Orthocyclops modestus"
"Cryptomonas sp. 1","Ploesoma sp."
"Chroococcus dispersus","Ploesoma sp."
"Unclassified flagellates","Ploesoma sp."
"Chromulina sp.","Ploesoma sp."
"Selenastrum minutum","Ploesoma sp."
"Trachelomonas sp.","Ploesoma sp."
"Cryptomonas sp. 1","Polyarthra vulgaris"
"Chroococcus dispersus","Polyarthra vulgaris"
"Unclassified flagellates","Polyarthra vulgaris"
"Chromulina sp.","Polyarthra vulgaris"
"Selenastrum minutum","Polyarthra vulgaris"
"Trachelomonas sp.","Polyarthra vulgaris"
"Cryptomonas sp. 1","Trichocerca multicrinis"
"Chroococcus dispersus","Trichocerca multicrinis"
"Unclassified flagellates","Trichocerca multicrinis"
"Chromulina sp.","Trichocerca multicrinis"
"Selenastrum minutum","Trichocerca multicrinis"
"Trachelomonas sp.","Trichocerca multicrinis"
"Cryptomonas sp. 1","Trichocerca cylindrica"
"Chroococcus dispersus","Trichocerca cylindrica"
"Unclassified flagellates","Trichocerca cylindrica"
"Chromulina sp.","Trichocerca cylindrica"
"Selenastrum minutum","Trichocerca cylindrica"
"Trachelomonas sp.","Trichocerca cylindrica"
"Ascomorpha eucadis","Tropocyclops prasinus"
"Synchaeta sp.","Tropocyclops prasinus"
"Conochilus (solitary)","Tropocyclops prasinus"
"Cyclops varians rubellus","Tropocyclops prasinus"
"Filinia longispina","Tropocyclops prasinus"
"Conochiloides dossuarius","Tropocyclops prasinus"
"Gastropus stylifer","Tropocyclops prasinus"
"Kellicottia sp.","Tropocyclops prasinus"
"Keratella cochlearis","Tropocyclops prasinus"
"Keratella testudo","Tropocyclops prasinus"
"Leptodiaptomus siciloides","Tropocyclops prasinus"
"Ploesoma sp.","Tropocyclops prasinus"
"Polyarthra vulgaris","Tropocyclops prasinus"
"Trichocerca multicrinis","Tropocyclops prasinus"
"Trichocerca cylindrica","Tropocyclops prasinus"
"Tropocyclops prasinus","Tropocyclops prasinus"
"Glenodinium quadridens","Chaoborus punctipennis"
"Ascomorpha eucadis","Chaoborus punctipennis"
"Synchaeta sp.","Chaoborus punctipennis"
"Bosmina longirostris","Chaoborus punctipennis"
"Conochilus (solitary)","Chaoborus punctipennis"
"Cyclops varians rubellus","Chaoborus punctipennis"
"Diaphanosoma leuchtenbergianum","Chaoborus punctipennis"
"Daphnia pulex","Chaoborus punctipennis"
"Filinia longispina","Chaoborus punctipennis"
"Conochiloides dossuarius","Chaoborus punctipennis"
"Gastropus stylifer","Chaoborus punctipennis"
"Kellicottia sp.","Chaoborus punctipennis"
"Keratella cochlearis","Chaoborus punctipennis"
"Keratella testudo","Chaoborus punctipennis"
"Leptodiaptomus siciloides","Chaoborus punctipennis"
"Orthocyclops modestus","Chaoborus punctipennis"
"Ploesoma sp.","Chaoborus punctipennis"
"Polyarthra vulgaris","Chaoborus punctipennis"
"Trichocerca multicrinis","Chaoborus punctipennis"
"Trichocerca cylindrica","Chaoborus punctipennis"
"Tropocyclops prasinus","Chaoborus punctipennis"
"Chaoborus punctipennis","Chaoborus punctipennis"
"Bosmina longirostris","Phoxinus eos"
"Cyclops varians rubellus","Phoxinus eos"
"Diaphanosoma leuchtenbergianum","Phoxinus eos"
"Daphnia pulex","Phoxinus eos"
"Holopedium gibberum","Phoxinus eos"
"Leptodiaptomus siciloides","Phoxinus eos"
"Orthocyclops modestus","Phoxinus eos"
"Tropocyclops prasinus","Phoxinus eos"
"Chaoborus punctipennis","Phoxinus eos"
"Bosmina longirostris","Phoxinus neogaeus"
"Cyclops varians rubellus","Phoxinus neogaeus"
"Diaphanosoma leuchtenbergianum","Phoxinus neogaeus"
"Daphnia pulex","Phoxinus neogaeus"
"Holopedium gibberum","Phoxinus neogaeus"
"Leptodiaptomus siciloides","Phoxinus neogaeus"
"Orthocyclops modestus","Phoxinus neogaeus"
"Tropocyclops prasinus","Phoxinus neogaeus"
"Chaoborus punctipennis","Phoxinus neogaeus"
"Bosmina longirostris","Umbra limi"
"Cyclops varians rubellus","Umbra limi"
"Diaphanosoma leuchtenbergianum","Umbra limi"
"Daphnia pulex","Umbra limi"
"Holopedium gibberum","Umbra limi"
"Leptodiaptomus siciloides","Umbra limi"
"Orthocyclops modestus","Umbra limi"
"Tropocyclops prasinus","Umbra limi"
"Chaoborus punctipennis","Umbra limi"
"Phoxinus eos","Umbra limi"
"Phoxinus neogaeus","Umbra limi"
"Umbra limi","Umbra limi"
